shortcut note	conversations
After Sale (PD, ICM) Wel ပါ	မင်္ဂလာပါခင်ဗျာ။ သင်တန်းလေးအပ်နှံပေးတဲ့အတွက်ကျေးဇူးတင်ပါတယ်ခင်ဗျာ။  Payment Receipt လေးကိုတော့ Finance ဘက်ကနေ တစ်ပါတ်အတွင်း  Email လေးပို့ပေးသွားမှာ ဖြစ်ပါတယ်ခင်ဗျာ။  အတန်းနဲ့ ပတ်သတ်တဲ့ Information လေးတွေပါတဲ့  welcome mail လေးကိုတော့ email လေး ပို့ပေးလိုက်ပါပြီခင်ဗျာ။ email ရဲ့ inbox ထဲမှာ မတွေ့ပါက spam mail လေးထဲမှာ စစ်ကြည့်ပေးပါခင်ဗျာ။ အဆင်မပြေတာလေးတွေရှိပါက 09250717168, 09444555612 ဖုန်းလေးကိုဖြစ်စေ messenger လေးမှ ဖြစ်စေ မေးမြန်းနိုင်ပါသည်ခင်ဗျာ။
Payment Types	သင်တန်းကြေးကို Online ငွေလွှဲဝန်ဆောင်မှုများဖြစ်သည့် -  KBZ Pay – 700 1150 1001  Account Name – SFUx (Merchant Account)  Wave Pay – 09 785 501 555 (QR ပေးကိုနှိပ်၍ ဖုန်းနံပတ် ရိုက်ပြီး ငွေလွဲနိုင်ပါသည်) Account Name  : Strategy First Education Group Co.,Ltd  AYA Pay : 20018198 U Aung Chit Khin   Mobile Banking များဖြင့်ပေးချေလိုပါက -  - AYA Bank AYA Bank – 400 119 440 93  Account Name - Strategy First Education Group Ltd.   - CB Bank CB Bank - 0010 6001 0008 7815  Account Name - U Aung Chit Khin   - KBZ Bank KBZ Bank - 0293 0402 9030 43401  Account Name – Strategy First Education Group Ltd. KBZ Bank - 0291 3902 9030 43401 (Special Cash Account)  -Yoma Bank Account No : 000-910-262-001-020 Account Name : U Aung Chit Khin  -AGD Bank Account No : 325 000 200 013 6011 Account Name : ACK AND CO SERVICES CO.LTD များဖြင့် လွယ်ကူစွာပေးသွင်းနိုင်မှာဖြစ်ပါတယ်။ သင်တန်းကြေးပေးချေပြီးပါက Screenshot ကို Messenger သို့ပို့ပေးရမှာဖြစ်ပါတယ်ခင်ဗျာ။
Discuss	ဟုတ်ကဲ့ပါခင်ဗျာ။ အတန်းများနဲ့ပတ်သတ်ပြီး အဆင်မပြေမှုများရှိပါက ယခု messenger သို့ လာ၍ဆွေးနွေးလို့ရပါတယ်ခင်ဗျာ။
3.ph	ဟုတ်ကဲ့ခင်ဗျာ။ လက်ရှိမှာတော့ အတန်းသစ်အတွက် timetable လေးမထွက်သေးပါဘူးခင်ဗျာ။ အတန်းသစ် timetable လေးထွက်တဲ့အခါ ပြန်လည်ဆက်သွယ်ပေးဖို့အတွက် နာမည်၊ ဖုန်းနံပါတ်လေး ပေးထားခဲ့နိုင်ပါတယ်ခင်ဗျာ။ 
14 ICM Register Link - June and July	ICM Single Subject Diploma June လ နှင့် July လ အတန်းများအတွက် အောက်ပါ Link လေးတွင် အတန်းအပ်နိုင်ပါတယ်ခင်‌ဗျာ။   https://forms.office.com/r/EY54Q5apww  သင်တန်းအပ်မည်ဆိုပါကဖော်ပြထားသော Form ကိုဖြည့်စွက်ပြီး သင်တန်းတက်ရောက်ခွင့်ရရှိရန်အတွက် မိမိတို့ ရရှိထားသော ဘွဲ့လက်မှတ် (သို့မဟုတ်) ဆယ်တန်းအောင်လက်မှတ်ကို admission.pd@strategyfirst.edu.mm သို့ပို့ပေးရပါမည်။  *📲 သင်တန်း Register Form ဖြည့်ပြီးပါက register လုပ်ထားသော နာမည်, ဖုန်းနံပါတ်လေး ကို ယခု messenger သို့ ပေးပို့ပေးပါခင်ဗျာ။ 
14 PD Register Link - June and July	Professional Diploma June လ နှင့် July လ အတန်းများအတွက် အောက်ပါလင့်လေးတွင် အတန်းအပ်နိုင်ပါတယ်ခင်‌ဗျာ။   https://forms.office.com/r/5tTE87LTzY  သင်တန်းအပ်မည်ဆိုပါကဖော်ပြထားသော Form ကိုဖြည့်စွက်ပြီး သင်တန်းတက်ရောက်ခွင့်ရရှိရန်အတွက် မိမိတို့ ရရှိထားသော ဘွဲ့လက်မှတ် (သို့မဟုတ်) ဆယ်တန်းအောင်လက်မှတ်ကို admission.pd@strategyfirst.edu.mm သို့ပို့ပေးရပါမည်။  *📲 သင်တန်း Register Form ဖြည့်ပြီးပါက register လုပ်ထားသော နာမည်၊ဖုန်းနံပါတ်လေးကို ယခု messenger သို့ ပေးပို့ပေးပါခင်ဗျာ။ 
1.reg	ဟုတ်ကဲ့ခင်‌ဗျာ။ register လုပ်ထားသော ဖုန်းနံပါတ်၊ အမည်၊ Email လေးကိုပေးပို့ပေးပါခင်ဗျာ။ 
14 PD June , July ဖွင့်မည့်အတန်း	မင်္ဂလာပါခင်ဗျာ။ June နှင့်  July လတွင်ဖွင့်မယ့် online ကနေတက်ရမည့် Strategy First University Professional Diploma သင်တန်းများကတော့ 1. Business Management & Entrepreneurship  2. Logistics and Supply Chain Management  3. Project Management  4. Financial Management  5. Marketing and Brand Management  6. Marketing and Sales Management ဘာသာရပ်တွေရှိပါတယ်ခင်ဗျာ။  မည်သည့် ဘာသာရပ်လေးကို စိတ်ဝင်စားပါသလဲခင်ဗျာ။
CSE	ဟုတ်ကဲ့ပါခင်ဗျာ။ Customer service ပိုင်းနဲ့ ပတ်သက်ပြီး  - ICM Single Subject Diploma in Customer Service  - SFUx Certificate in Customer Service Excellence  အတန်းလေးတွေ ရှိပါတယ်ခင်ဗျာ။ မည်သည့်အတန်းလေးကို စိတ်ဝင်စားပါသလဲခင်ဗျာ။ 
OAB	မင်္ဂလာပါခင်ဗျာ။ Strategy First University တွင်SFU Certificate in Operation Analytics for Business (4 Days Workshop) အတန်းသစ်ကို ဩဂုတ်လ (၁၃) ရက်တွင် ဖွင့်မည်ဖြစ်ပါသည်ခင်ဗျာ။ သင်တန်းနှင့်ပါတ်သက်ပြီး အသေးစိတ် လေ့လာရန် - https://enroll.strategyfirst.edu.mm/yangon/sfu_professional_certificates/certificate_in_operation_analytics_for_business  သင်တန်း အပ်နှံရန် - https://forms.office.com/r/4xbdbPz86M
Transfer / Repeat	ဟုတ်ကဲ့ပါခင်ဗျာ။ အတန်းလေးကိုပြန်တက်လိုပါက (သို့) transfer ပြောင်းလိုပါက Transfer / Repeat Fees 20000 ks (online) / 30000 ks (on campus) သွင်းပြီးပြန်တက်လို့ရပါတယ်ခင်ဗျ။ အရင်အတန်းလေးတက်တုန်းက register လေးပေးထားတဲ့ နာမည် email လေးနဲ့ ဖုန်းနံပါတ်လေးပို့ပေးပါခင်ဗျာ။
QAQC	ဟုတ်ကဲ့ပါခင်ဗျာ။ ဆောက်လုပ်ရေးအင်ဂျင်နီယာများ၊ Construction Project များကိုဦးဆောင်နေသူများ၊ စီမံခန့်ခွဲနေသူများ နှင့် လုပ်ငန်းရှင်များအတွက် ဆောက်လုပ်‌ရေးနည်းပညာဘာသာရပ် SFU Certificate in Construction Quality Assurance and Quality Control (Module (3) - Professional Diploma in Applied Construction Management) 📢 အတန်းသစ်ကို ဇူလိုင်လ (၂၉) ရက်နေ့ စတင်ဖွင့်လှစ်သွားပါမည်။  ⏳သင်တန်းကာလ နှင့် သင်တန်းအချိန် 🔹 အတန်းစမည့်ရက်: 29 - July - 2023 🔹 သင်တန်းချိန်: အပတ်စဉ် စနေနေ့ (6:30 pm to 8:30 pm) တနင်္ဂနွေနေ့ (1:00 pm to 4:00 pm) 🔹 သင်တန်းကာလ: 2.5 months 🔹 သင်တန်းကြေး - 395,000 ကျပ် (Textbook Hardcopy ဝယ်ယူလိုပါက စာအုပ်ဖိုးထပ်မံပေးသွင်းရပါမည်) 🔹  SFU ကျောင်းသားဟောင်းသင်တန်းကြေး - 295,000 ကျပ် 🔹 One Time Payment – 10% Discount ခံစားခွင့်  အသေစိတ်ကို - https://www.facebook.com/StrategyFirstUniversity တွင်လေ့လာနိုင်ပါသည်ခင်ဗျာ။
MDY	ဟုတ်ကဲ့ခင်ဗျာ။ မန္တလေး ကျောင်းလေးကို ဆက်သွယ်လို့ပါက ဖုန်းနံပါတ်  ☎  09-444 555 616~ 617 🏫 ကိုယ်တိုင်လာရောက်စုံစမ်းရန် Mingalar Mandalay Teaching Center (1) - Block 4, Unit 8, သဇင်လမ်း နှင့် ငုရွေဝါလမ်းထောင့်၊ မင်္ဂလာမန္တလေး၊ ချမ်းမြသာစည်မြို့နယ်၊ New Ocean အနီး ၊ မန္တလေးမြို့။ Massenger မှစုံးစမ်းရန် - https://www.facebook.com/messages/t/286793705085124 
Wel ပါ	မင်္ဂလာပါခင်ဗျာ။ သင်တန်းလေးအပ်နှံပေးတဲ့အတွက်ကျေးဇူးတင်ပါတယ်ခင်ဗျာ။ Payment Receipt လေးကိုတော့ Finance ဘက်ကနေ တစ်ပါတ်အတွင်း  Email လေးပို့ပေးသွားမှာ ဖြစ်ပါတယ်ခင်ဗျာ။ အတန်းနဲ့ ပတ်သတ်တဲ့ Information လေးတွေပါတဲ့  welcome mail လေးကိုတော့ အတန်းစမည့်ရက်မတိုင်ခင် ပေးပို့ပေးသွားမှာ ဖြစ်ပါတယ်ခင်ဗျာ။ အဆင်မပြေတာလေးတွေရှိပါက 09250717168, 09444555612 ဖုန်းလေးကိုဖြစ်စေ messenger လေးမှ ဖြစ်စေ မေးမြန်းနိုင်ပါသည်ခင်ဗျာ။
how to get pd	အတန်းတွင်း quiz များဖြေဆိုအောင်မြင်ပြီး attendance များပြည့်ပါက SFU မှ ပေးအပ်သော Certificate ကို ရရှိမှာဖြစ်ပြီး exam အားလုံးဖြေဆိုအောင်မြင်ပါက SFU မှ ပေးအပ်သော Professional Diploma ကို ရရှိမှာဖြစ်ပါတယ်ခင်ဗျာ။
More Details	ဟုတ်ကဲ့ပါခင်ဗျာ။ သင်တန်းနဲ့ပတ်သက်ပြီး အသေးစိတ်ထပ်မံသိရှိလိုပါက ကျွန်တော်တို့ရဲ့ Hotline ဖုန်းနံပါတ်လေးဖြစ်တဲ့ 09765438000 သို့ ရုံးချိန် နံနက် 9:00 မှ ညနေ 6:00 အတွင်း ဆက်သွယ်မေးမြန်းနိုင်ပါတယ်ခင်ဗျာ။
diff (SFU and SFUx)	ဟုတ်ကဲ့ပါခင်ဗျာ။ SFU က Strategy First University ဖြစ်ပြီး SFUx ကတော့ Strategy First University Extension ဖြစ်ပါတယ်ခင်ဗျာ။ SFU မှာကတော့ Bachelor program, ICM Single Subject Diploma Program, SFU Professional Diploma Program, Certificate Program ဆိုပြီးရှိပါတယ်ခင်ဗျာ။ SFUx မှာကတော့ SFUx Certificate program နဲ့ Diploma အတန်းလေးရှိပါတယ်ခင်ဗျာ။
2 payment	ဟုတ်ကဲ့ပါခင်ဗျာ။ သင်တန်းကြေးလေးကိုအရစ်ကျပေးသွင်းလိုပါက One month credi‌t လေးဖြစ်တဲ့ အတွက် ‌ငွေပေးသွင်းတဲ့နေ့မှစပြီးတစ်လပြည့်တဲ့နေ့တွင် Second Payment လေးကိုပေးသွင်းပေးရမှာပါ ခင်ဗျာ။
Eng Level Test	ဟုတ်ကဲ့ Level test လေးကိုဖြေလိုပါက pd.strategyfirst.edu.mm ဆိုတဲ့ website ထဲကိုဝင်ပေးရပါမယ်ခင်ဗျာ။  website ထဲရောက်သွားတဲ့အခါ user name နေရာမှာ မိမိ email ထည့်ရမှာဖြစ်ပြီး pw နေရာမှာ Sfu@2022 နဲ့ဝင်ပေးရမှာပါခင်ဗျာ။  moodle ထဲရောက်သွားတဲ့အခါ ဘယ်ဘက်နားလေးက my course အောက်မှာ level test for English Proficiency Courses ဆိုပြီးတွေ့ပါလိမ့်မယ်ခင်ဗျာ။ အဲ့ထဲကိုနှိပ်ပြီး test ကိုဖြေဆိုနိုင်ပါတယ်ခင်ဗျာ။ ဖြေဆိုချိန်ကတော့ 1:30 hrs ပါခင်ဗျာ။
pd assessment	💯 စာမေးပွဲနှင့် အရည်အသွေးစစ်ဆေးခြင်း စာမေးပွဲအနေဖြင့်ဘာသာရပ်ပေါ်မူတည်ပြီး Online Quiz MCQ + Assessment များဖြင့် ဖြေဆိုရပါမည်။ Assessment ဖြေဆိုရာတွင်ဘာသာရပ် Learning Outcome ပေါ်မူတည်ပြီး Assessment Type ကွာခြားမှုရှိပါမည်။ အတန်းတွင်း Activity များအနေဖြင့် Group အလိုက်၊ တစ်ဦးချင်းစီ (သို) အဖွဲလိုက် Quiz, Assignment, Presentation များလည်းရှိပါမည်။
Who Join?	Strategy First University မှ ဖွင့်လှစ်ထားသော Bachelor အတန်း များကို - GED/ IGCSE/ တက္ကသိုလ်ဝင်တန်းဖြေဆိုအောင်မြင်ထားသူများ - စီးပွားရေးကို စိတ်ဝင်စားသော လူငယ်များ - IT နည်းပညာလေ့လာလိုသူများ - Computing ပိုင်းအပြင် စီးပွားရေးနှင့်တွဲစပ်လေ့လာလိုသူများတက်ရောက်နိုင်ပါသည်ခင်ဗျာ။
DB fee old	ဟုတ်ကဲ့ခင်ဗျာ။  သင်တန်းကြေး - ၆၄၅၀၀၀ ကျပ်  ကျောင်းသားဟောင်းသင်တန်းကြေး - ၅၄၅၀၀၀ ကျပ်   တစ်ခါတည်ပေးသွင်းမည်ဆိုပါက ၄၉၀၅၀၀ကျပ်   အရစ်ကျပေးသွင်းလိုပါက  1st payment -   ၁၂၂၆၂၅ကျပ် 2nd payment-   ၁၂၂၆၂၅ကျပ် 3rd payment-   ၁၂၂၆၂၅ကျပ် final payment- ၁၂၂၆၂၅ကျပ် ပထမအကြိမ်ပေးသွင်းပြီး ၁လပြည့်ရင် ဒုတိယအကြိမ်ကိုထပ်မံပေးသွင်းပေးရမှာပါခင်ဗျာ။
sfux certificate	ဟုတ်ကဲ့ပါခင်ဗျာ။ SFUx Learn တွေ Profile update ပြုလုပ်ရန်အတွက် Menu ထဲက my profile မှာ NRC card ရှေ့နောက် ဓါတ်ပုံကို ထည့်ပေးရပါမည်။  ထည့်ပြီးပါက 09400088050-54 ကို ဆက်သွယ်ပေးပါ။  ကျောင်းဘက်က verifyလုပ်ပြီးပြီးဆိုပါက menu ထဲက Certificate နေရာမှာ စစ်ဆေးပေးပါခင်ဗျာ။ 
SFU-PD	SFU Professioal Diploma အတန်းတွေမှာတော့ ဘာသာရပ်တစ်ခုကို Module 4  ခု လေ့လာရမှာဖြစ်ပါတယ်ခင်ဗျာ။  Module တစ်ခုချင်းစီတိုင်းမှာ သက်ဆိုင်ရာ Unitအလိုက် ကြိုတင်ရိုက်ကူးထားတဲ့ သင်ခန်းစာ Video တွေကို အရင်ဆုံး အိမ်ကနေ လေ့လာရပါမယ်။  ပြီးရင်တော့ လေ့လာထားတဲ့ သင်ခန်းစာတွေကို Zoom အတန်းချိန် ပြန်လည်ဆွေးနွေး သင်ကြား တဲ့ ပုံစံ နဲ့ ထပ်မံလေ့လာရပါမယ်။  Unit တစ်ခု ချင်းစီတိုင်းမှာ လေ့လာရမယ့် သင်ခန်းစာ Video လေ့ကျင့်ဖြေဆိုရမည့် Quiz သင်ခန်းစာ Note တွေ အားလုံးပါဝင်မှာ ဖြစ်ပါတယ်ခင်ဗျာ။ Module တစ်ခုချင်းစီတိုင်းရဲ့ Quiz တွေ အားလုံးကို ဖြေဆိုအောင်မြင်ပြီးသာ SFU professional Diploma ကိုရရှိဖို့ အတွက်  Assignment လုပ်လို့ရမှာပါ။ Assignement အောင်မြင်မှသာ Diploma ကိုရရှိမှာဖြစ်ပါတယ်ခင်ဗျာ။  Assessment အားလုံးကို Strategy First University က သာ စစ်ဆေးဆောင်ရွက်တာဖြစ်ပါတယ်ခင်ဗျာ။    
pd exam fees	စာမေးပွဲကြေးကို Online Payment ဖြင့်လွှဲပြီးပါက ငွေလွှဲထားပါသော Payment Screenshot နှင့်အတူ ဓာတ်ပုံ (၂) ပုံ (လိုင်စင် size) ၊ ဘွဲ့လက်မှတ် မိတ္တူ (၁)စောင် (သို့) ဆယ်တန်းအောင်လက်မှတ် မိတ္တူ (၁)စောင် (ဘွဲ့လက်မှတ်တွင် Myanmar /English လို နှစ်မျိူးလုံးလက်ခံပြီး နိုတြီပြန်ရန်မလိုပါ) တို့ကို admission.pd@strategyfirst.edu.mm  Attachments တွဲ၍ ပို့ပေးရပါမည်။စာမေးပွဲကြေး သွင်းထားပြီး လက်ခံရရှိကြောင်း ကို Email မှ အကြောင်းပြန် ပေးသွားမည် ဖြစ်ပြီး (၂)ရက်အတွင်း Payment Receipt ကိုပို့ပေးသွားပါမည်။ စာမေးပွဲကြေး နှင့် ပတ်သက်ပြီး ဆက်သွယ် လိုပါက 09 250 71 71 67 – 09 894 991 040 ဆက်သွယ် မေးမြန်း နိုင်ပါတယ်ခင်ဗျာ။
Dip sfux and SFU	မင်္ဂလာပါခင်ဗျာ  Professional Diploma ကတော့ Module (၄) ခု ဖြင့် ဖွဲ့စည်းထားတဲ့ Professional Diploma မျိုးစားဖြစ်ပါတယ်။  Exam စစ်ဆေးတာတွေ အားလုံးကိုလည်း Strategy First University ကပဲ စစ်ဆေးဆောင်ရွက်တာဖြစ်ပါတယ်။  Professional Diploma ကတော့ သင်ခန်းစာတွေ ပိုမိုပြည့်စုံစွာလေ့လာရမှာဖြစ်ပါတယ်ခင်ဗျာ။   SFU Diploma in Entrepreneurship and Management (SFUx) အတန်းလေးက Certificate ၇ခုကို တစ်ပေါင်းတစ်စည်းတည်းလေ့လာရပါမယ်။  Application / Website ထဲမှာတော့ Diploma ဆိုတဲ့ ခေါင်းစဉ်အောက်မှာ Certificate (၇) ခုအနေနဲ့ ခွဲပြီး လေ့လာရပါမယ်ခင်ဗျာ။ (၇) ခုလုံး ဖြေဆိုအောင်မြင်ပြီးပါက Business Plan တင်ပေးရပါမယ်ခင်ဗျာ။ ပြီးပါက SFU Diploma in Entrepreneurship and Management ရရှိမှာဖြစ်ပါတယ်ခင်ဗျာ။ 
Diff BM & BA	ဟုတ်ကဲ့ပါခင်ဗျာ။ Business Management နဲ့ Business Administration သင်ကြားရမယ့် ဘာသာရပ်တွေကတူပါတယ် ခင်ဗျာ။။ Management က Planning, Organizing ပိုင်းဘက်ကို ပိုသွားပြီး Business Administration ကတော့ ပိုပြီး ကျယ်ပြန့်တဲ့ General Management ပိုင်း၊ organization တွေရဲ့ Function အားလုံးကို ခြုံငုံမိအောင်၊ နောက်ပိုင်းမှာ စိတ်ဝင်စားတဲ့ Specialization တွေ ထပ်ယူနိုင်ဖို့တွေ သင်ယူရမှာဖြစ်ပါတယ်ခင်ဗျာ။  Level 4 & 5 ကတော့ Pearson Education ရဲ့ Higher National Diploma in Business နဲ့ အတူတူပါပဲ။ နောက်ဆုံးနှစ်ကတော့ ကိုယ် တက်ရောက်တဲ့ ကျောင်းပေါ်မှာ မူတည်ပြီး ပေးတဲ့ ဘွဲ့အမျိုးအစားနဲ့ major တွေကွာခြားပါတယ်ခင်ဗျာ။
Acc & FM diff	ဟုတ်ကဲ့ပါခင်ဗျာ။ Accounting လေးက Entry ပိုင်းကို အသေးစိတ်လေ့လာရမှာဖြစ်ပြီး Financial Management လေးကတော့ Decision ပိုင်းအတွက် သိထားရမယ့်အကြောင်းအရာတွေကို လေ့လာရမှာဖြစ်ပါတယ်ခင်ဗျာ။
